# pas sûr pour :
#
# ForumPrefs_CopieCourrielEquipe;IdForumPrefs;ForumPrefs;IdForumPrefs
# ForumPrefs_CopieCourrielEquipe;IdEquipe;Equipe;IdEquipe

#Activ;IdRubrique;Module_Rubrique;IdRubrique

#Chat;IdRubrique;Module_Rubrique;IdRubrique
#Chat;IdSousActiv;SousActiv;IdSousActiv

#DossierFormations;IdPers;Personne;IdPers

#DossierFormations_Formation;IdForm;Formation;IdForm

#Equipe;IdForm;Formation;IdForm
#Equipe;IdMod;Module;IdMod
#Equipe;IdRubrique;Module_Rubrique;IdRubrique
#Equipe;IdActiv;Activ;IdActiv
#Equipe;IdSousActiv;SousActiv;IdSousActiv

#Equipe_Membre;IdEquipe;Equipe;IdEquipe
Equipe_Membre;IdPers;Personne;IdPers

Evenement;IdPers;Personne;IdPers

Evenement_Detail;IdEven;Evenement;IdEven
#Evenement_Detail;IdForm;Formation;IdForm

Formation;IdPers;Personne;IdPers

#Formation_Concepteur;IdForm;Formation;IdForm
Formation_Concepteur;IdPers;Personne;IdPers

#Formation_Inscrit;IdForm;Formation;IdForm
Formation_Inscrit;IdPers;Personne;IdPers

#Formation_Resp;IdForm;Formation;IdForm
Formation_Resp;IdPers;Personne;IdPers

#Formation_Tuteur;IdForm;Formation;IdForm
Formation_Tuteur;IdPers;Personne;IdPers

Formulaire;IdPers;Personne;IdPers

FormulaireComplete;IdForm;Formulaire;IdForm

FormulaireComplete_Evaluation;IdPers;Personne;IdPers

FormulaireComplete_SousActiv;IdFC;FormulaireComplete;IdFC
#FormulaireComplete_SousActiv;IdSousActiv;SousActiv;IdSousActiv

#Formulaire_Axe;IdForm;Formulaire;IdForm
Formulaire_Axe;IdAxe;Axe;IdAxe

#Forum;IdForumParent;Forum;IdForum
#Forum;IdMod;Module;IdMod
#Forum;IdRubrique;Module_Rubrique;IdRubrique
#Forum;IdSousActiv;SousActiv;IdSousActiv
Forum;IdPers;Personne;IdPers

#ForumPrefs;IdForum;Forum;IdForum
ForumPrefs;IdPers;Personne;IdPers
ForumPrefs_CopieCourrielEquipe;IdForumPrefs;ForumPrefs;IdForumPrefs
ForumPrefs_CopieCourrielEquipe;IdEquipe;Equipe;IdEquipe

#Glossaire;IdForm;Formation;IdForm
#Glossaire;IdMod;Module;IdMod
#Glossaire;IdRubrique;Module_Rubrique;IdRubrique
#Glossaire;IdActiv;Activ;IdActiv
#Glossaire;IdSousActiv;SousActiv;IdSousActiv

#MessageForum;IdSujetForum;SujetForum;IdSujetForum
MessageForum;IdPers;Personne;IdPers

#MessageForum_Equipe;IdMessageForum;MessageForum;IdMessageForum
MessageForum_Equipe;IdEquipe;Equipe;IdEquipe

#MessageForum_Ressource;IdMessageForum;MessageForum;IdMessageForum
MessageForum_Ressource;IdRes;Ressource;IdRes

#Module;IdForm;Formation;IdForm
Module;IdPers;Personne;IdPers
Module;IdIntitule;Intitule;IdIntitule

#Module_Concepteur;IdMod;Module;IdMod
Module_Concepteur;IdPers;Personne;IdPers

#Module_Inscrit;IdMod;Module;IdMod
Module_Inscrit;IdPers;Personne;IdPers

#Module_Rubrique;IdMod;Module;IdMod
Module_Rubrique;IdIntitule;Intitule;IdIntitule
Module_Rubrique;IdPers;Personne;IdPers

#Module_Tuteur;IdMod;Module;IdMod
Module_Tuteur;IdPers;Personne;IdPers

#MPSeparateur;IdObjForm;ObjetFormulaire;IdObjForm

#MPTexte;IdObjForm;ObjetFormulaire;IdObjForm

#ObjetFormulaire;IdTypeObj;TypeObjetForm;IdTypeObj
#ObjetFormulaire;IdForm;Formulaire;IdForm

#Projet_Admin;IdPers;Personne;IdPers

#Projet_Concepteur;IdPers;Personne;IdPers

#Projet_Resp;IdPers;Personne;IdPers

#QCocher;IdObjForm;ObjetFormulaire;IdObjForm

#QListeDeroul;IdObjForm;ObjetFormulaire;IdObjForm

#QNombre;IdObjForm;ObjetFormulaire;IdObjForm

#QRadio;IdObjForm;ObjetFormulaire;IdObjForm

#QTexteCourt;IdObjForm;ObjetFormulaire;IdObjForm

#QTexteLong;IdObjForm;ObjetFormulaire;IdObjForm

#Reponse;IdObjForm;ObjetFormulaire;IdObjForm

#ReponseCar;IdFC;FormulaireComplete;IdFC
#ReponseCar;IdObjForm;ObjetFormulaire;IdObjForm

#ReponseEntier;IdFC;FormulaireComplete;IdFC
#ReponseEntier;IdObjForm;ObjetFormulaire;IdObjForm

#ReponseFlottant;IdFC;FormulaireComplete;IdFC
#ReponseFlottant;IdObjForm;ObjetFormulaire;IdObjForm

#ReponseTexte;IdFC;FormulaireComplete;IdFC
#ReponseTexte;IdObjForm;ObjetFormulaire;IdObjForm

#Reponse_Axe;IdReponse;Reponse;IdReponse
Reponse_Axe;IdAxe;Axe;IdAxe

Ressource;IdPers;Personne;IdPers

#Ressource_SousActiv;IdSousActiv;SousActiv;IdSousActiv
Ressource_SousActiv;IdRes;Ressource;IdRes

#Ressource_SousActiv_Evaluation;IdResSousActiv;Ressource_SousActiv;IdResSousActiv
Ressource_SousActiv_Evaluation;IdPers;Personne;IdPers

#Ressource_SousActiv_FichierEvaluation;IdResSousActiv;Ressource_SousActiv;IdResSousActiv
Ressource_SousActiv_FichierEvaluation;IdRes;Ressource;IdRes

#Ressource_SousActiv_Vote;IdResSousActiv;Ressource_SousActiv;IdResSousActiv
Ressource_SousActiv_Vote;IdPers;Personne;IdPers

#SousActiv;IdTypeSousActiv;TypeSousActiv;IdTypeSousActiv
#SousActiv;IdActiv;Activ;IdActiv
SousActiv;IdPers;Personne;IdPers

#SousActivInvisible;IdSousActiv;SousActiv;IdSousActiv
#SousActivInvisible;IdPers;Personne;IdPers

#SousActiv_Ressource_SousActiv;IdSousActiv;SousActiv;IdSousActiv
SousActiv_Ressource_SousActiv;IdResSousActiv;Ressource_SousActiv;IdResSousActiv

SousActiv_SousActiv;IdSousActiv;SousActiv;IdSousActiv
SousActiv_SousActiv;IdSousActivRef;SousActiv;IdSousActiv

Statut_Permission;IdPermission;Permission;IdPermission
#Statut_Permission;IdStatut;TypeStatutPers;IdStatut

#SujetForum;IdForum;Forum;IdForum
SujetForum;IdPers;Personne;IdPers

#SujetForum_Equipe;IdSujetForum;SujetForum;IdSujetForum
SujetForum_Equipe;IdEquipe;Equipe;IdEquipe
