Activ;IdActiv
Axe;IdAxe
Chat;IdChat
DossierFormations;IdDossierForms
DossierFormations_Formation;IdDossierForms,IdForm
Equipe;IdEquipe
Equipe_Membre;IdEquipe,IdPers
Evenement;IdEven
Evenement_Detail;IdEven
Formation;IdForm
Formation_Concepteur;IdForm,IdPers
Formation_Inscrit;IdForm,IdPers
Formation_Resp;IdForm,IdPers
Formation_Tuteur;IdForm,IdPers
Formulaire;IdForm
FormulaireComplete;IdFC
FormulaireComplete_Evaluation;IdFCSousActiv,IdPers
FormulaireComplete_SousActiv;IdFCSousActiv
Formulaire_Axe;IdForm,IdAxe
Forum;IdForum
ForumPrefs;IdForumPrefs
ForumPrefs_CopieCourrielEquipe;IdForumPrefs,IdEquipe
Glossaire;IdGlossaire
Intitule;IdIntitule
MPSeparateur;IdObjForm
MPTexte;IdObjForm
MessageForum;IdMessageForum
MessageForum_Equipe;IdMessageForum,IdEquipe
MessageForum_Ressource;IdMessageForum,IdRes
Module;IdMod
Module_Concepteur;IdMod,IdPers
Module_Inscrit;IdMod,IdPers
Module_Rubrique;IdRubrique
Module_Tuteur;IdMod,IdPers
ObjetFormulaire;IdObjForm
Permission;IdPermission
Personne;IdPers
Projet_Admin;IdPers
Projet_Concepteur;IdPers
Projet_Resp;IdPers
QCocher;IdObjForm
QListeDeroul;IdObjForm
QNombre;IdObjForm
QRadio;IdObjForm
QTexteCourt;IdObjForm
QTexteLong;IdObjForm
Reponse;IdReponse
ReponseCar;IdFC,IdObjForm
ReponseEntier;IdFC,IdObjForm,IdReponse
ReponseEntier;IdFC,IdObjForm,IdReponse
ReponseTexte;IdFC,IdObjForm
Reponse_Axe;IdReponse,IdAxe
Ressource;IdRes
Ressource_SousActiv;IdResSousActiv
Ressource_SousActiv_Evaluation;IdResSousActiv,IdPers
Ressource_SousActiv_FichierEvaluation;IdResSousActiv,IdRes
Ressource_SousActiv_Vote;IdResSousActiv,IdPers
SousActiv;IdSousActiv
SousActivInvisible;IdSousActiv,IdPers
SousActiv_Ressource_SousActiv;IdSousActiv,IdResSousActiv
SousActiv_SousActiv;IdSousActiv,IdSousActivRef
Statut_Permission;IdPermission,IdStatut
SujetForum;IdSujetForum
SujetForum_Equipe;IdSujetForum,IdEquipe
TypeObjetForm;IdTypeObj
TypeSousActiv;IdTypeSousActiv
TypeStatutPers;IdStatut
